week_ending_date,Hokkaido_Observed,Aomori_Observed,Iwate_Observed,Miyagi_Observed,Akita_Observed,Yamagata_Observed,Fukushima_Observed,Ibaraki_Observed,Tochigi_Observed,Gunma_Observed,Saitama_Observed,Chiba_Observed,Tokyo_Observed,Kanagawa_Observed,Niigata_Observed,Toyama_Observed,Ishikawa_Observed,Fukui_Observed,Yamanashi_Observed,Nagano_Observed,Gifu_Observed,Shizuoka_Observed,Aichi_Observed,Mie_Observed,Shiga_Observed,Kyoto_Observed,Osaka_Observed,Hyogo_Observed,Nara_Observed,Wakayama_Observed,Tottori_Observed,Shimane_Observed,Okayama_Observed,Hiroshima_Observed,Yamaguchi_Observed,Tokushima_Observed,Kagawa_Observed,Ehime_Observed,Kochi_Observed,Fukuoka_Observed,Saga_Observed,Nagasaki_Observed,Kumamoto_Observed,Oita_Observed,Miyazaki_Observed,Kagoshima_Observed,Okinawa_Observed,Japan_Observed,Hokkaido_Estimated,Aomori_Estimated,Iwate_Estimated,Miyagi_Estimated,Akita_Estimated,Yamagata_Estimated,Fukushima_Estimated,Ibaraki_Estimated,Tochigi_Estimated,Gunma_Estimated,Saitama_Estimated,Chiba_Estimated,Tokyo_Estimated,Kanagawa_Estimated,Niigata_Estimated,Toyama_Estimated,Ishikawa_Estimated,Fukui_Estimated,Yamanashi_Estimated,Nagano_Estimated,Gifu_Estimated,Shizuoka_Estimated,Aichi_Estimated,Mie_Estimated,Shiga_Estimated,Kyoto_Estimated,Osaka_Estimated,Hyogo_Estimated,Nara_Estimated,Wakayama_Estimated,Tottori_Estimated,Shimane_Estimated,Okayama_Estimated,Hiroshima_Estimated,Yamaguchi_Estimated,Tokushima_Estimated,Kagawa_Estimated,Ehime_Estimated,Kochi_Estimated,Fukuoka_Estimated,Saga_Estimated,Nagasaki_Estimated,Kumamoto_Estimated,Oita_Estimated,Miyazaki_Estimated,Kagoshima_Estimated,Okinawa_Estimated,Japan_Estimated,Hokkaido_95Upper,Aomori_95Upper,Iwate_95Upper,Miyagi_95Upper,Akita_95Upper,Yamagata_95Upper,Fukushima_95Upper,Ibaraki_95Upper,Tochigi_95Upper,Gunma_95Upper,Saitama_95Upper,Chiba_95Upper,Tokyo_95Upper,Kanagawa_95Upper,Niigata_95Upper,Toyama_95Upper,Ishikawa_95Upper,Fukui_95Upper,Yamanashi_95Upper,Nagano_95Upper,Gifu_95Upper,Shizuoka_95Upper,Aichi_95Upper,Mie_95Upper,Shiga_95Upper,Kyoto_95Upper,Osaka_95Upper,Hyogo_95Upper,Nara_95Upper,Wakayama_95Upper,Tottori_95Upper,Shimane_95Upper,Okayama_95Upper,Hiroshima_95Upper,Yamaguchi_95Upper,Tokushima_95Upper,Kagawa_95Upper,Ehime_95Upper,Kochi_95Upper,Fukuoka_95Upper,Saga_95Upper,Nagasaki_95Upper,Kumamoto_95Upper,Oita_95Upper,Miyazaki_95Upper,Kagoshima_95Upper,Okinawa_95Upper,Japan_95Upper,Hokkaido_95Lower,Aomori_95Lower,Iwate_95Lower,Miyagi_95Lower,Akita_95Lower,Yamagata_95Lower,Fukushima_95Lower,Ibaraki_95Lower,Tochigi_95Lower,Gunma_95Lower,Saitama_95Lower,Chiba_95Lower,Tokyo_95Lower,Kanagawa_95Lower,Niigata_95Lower,Toyama_95Lower,Ishikawa_95Lower,Fukui_95Lower,Yamanashi_95Lower,Nagano_95Lower,Gifu_95Lower,Shizuoka_95Lower,Aichi_95Lower,Mie_95Lower,Shiga_95Lower,Kyoto_95Lower,Osaka_95Lower,Hyogo_95Lower,Nara_95Lower,Wakayama_95Lower,Tottori_95Lower,Shimane_95Lower,Okayama_95Lower,Hiroshima_95Lower,Yamaguchi_95Lower,Tokushima_95Lower,Kagawa_95Lower,Ehime_95Lower,Kochi_95Lower,Fukuoka_95Lower,Saga_95Lower,Nagasaki_95Lower,Kumamoto_95Lower,Oita_95Lower,Miyazaki_95Lower,Kagoshima_95Lower,Okinawa_95Lower,Japan_95Lower
21oct2018,12,5,0,5,3,4,8,7,9,8,28,22,41,24,12,2,2,0,3,6,4,12,16,6,3,8,24,23,4,8,2,2,5,9,5,2,2,6,6,20,2,3,7,6,6,5,6,403,17,5,5,8,5,5,7,9,7,7,23,18,36,24,8,3,5,0,3,6,6,12,19,5,4,7,29,17,4,4,2,3,5,8,4,2,3,5,2,15,3,4,6,4,4,5,5,364,24,9,9,13,9,9,12,14,12,12,31,25,47,33,13,6,8,0,6,9,9,17,27,9,8,12,39,24,7,8,4,6,9,13,8,5,6,9,5,22,6,7,9,7,7,8,8,415,10,2,2,4,2,2,3,4,3,3,15,11,25,15,3,1,1,0,0,2,2,6,12,2,1,2,20,11,1,1,0,0,2,3,1,0,1,2,0,9,0,1,2,1,1,1,1,314
28oct2018,24,5,5,8,8,1,9,7,6,5,18,27,36,25,7,2,1,2,4,3,2,8,24,7,7,10,25,17,5,4,1,1,0,7,1,0,5,5,3,11,2,9,6,9,5,5,10,392,16,5,5,8,5,5,7,9,7,7,22,17,35,23,8,3,4,0,3,5,6,11,19,5,4,7,28,17,4,4,2,3,5,8,4,3,4,5,2,15,3,4,6,4,4,4,4,355,23,9,9,13,8,9,12,15,12,12,30,24,45,32,12,6,8,0,6,9,10,16,26,9,8,11,37,24,7,8,4,6,9,13,7,5,7,9,5,21,5,7,9,7,7,7,8,409,10,2,2,4,1,1,3,4,3,3,14,11,24,15,3,1,1,0,0,2,2,6,12,1,1,2,19,11,1,1,0,0,2,3,1,0,1,2,0,8,0,1,2,1,1,1,1,305
04nov2018,18,7,6,6,5,5,10,11,6,8,26,22,20,25,11,1,5,5,1,11,9,8,23,5,3,6,24,19,5,2,2,5,2,5,4,5,1,6,2,26,6,4,5,6,4,3,4,403,17,5,5,8,5,5,7,9,7,7,21,17,35,23,8,3,4,2,3,6,6,11,18,5,4,7,27,17,4,4,2,3,6,8,4,3,3,5,2,15,3,4,6,4,4,4,4,354,24,8,9,12,8,9,12,14,11,12,29,24,46,32,13,6,8,5,5,9,10,16,25,9,8,11,36,24,7,8,4,6,10,13,8,5,6,9,5,21,6,7,9,7,7,7,7,405,10,1,2,3,1,2,3,4,3,3,14,11,24,15,4,0,1,0,0,2,2,5,11,1,1,2,19,10,1,1,0,0,2,3,1,0,1,2,0,8,0,1,2,1,1,1,1,305
11nov2018,24,4,5,7,6,3,5,9,7,5,25,17,39,21,10,1,4,2,2,6,5,11,14,6,3,8,28,20,4,5,3,0,3,11,3,1,2,1,2,17,3,7,3,4,3,2,7,378,17,5,5,8,4,5,7,9,6,8,21,17,35,24,8,3,4,2,3,6,6,11,18,5,4,6,27,17,4,4,2,3,6,8,4,3,3,5,3,15,3,4,5,4,4,4,4,354,23,8,9,12,8,9,12,14,11,12,29,24,46,32,13,6,7,5,5,9,10,16,25,9,8,11,36,24,7,8,4,5,10,13,8,6,6,9,6,21,5,7,9,7,7,8,7,401,10,1,2,3,1,2,3,4,2,3,14,11,24,16,3,0,1,0,0,2,2,6,11,2,1,2,18,10,1,1,0,0,2,3,1,0,0,1,0,8,0,1,2,1,1,1,1,309
18nov2018,19,4,5,8,2,2,3,13,3,3,30,11,30,20,7,4,3,2,1,6,3,10,26,5,3,7,22,17,3,1,1,2,5,5,5,1,2,5,3,11,0,2,6,3,6,3,7,340,16,4,5,8,4,5,7,8,6,7,21,17,35,23,8,3,4,3,3,6,6,11,17,5,4,6,27,16,4,4,2,2,6,8,4,3,3,5,3,15,3,4,5,4,4,5,4,347,23,8,9,12,8,8,11,13,10,12,28,23,45,31,13,6,7,5,5,10,9,16,24,9,8,11,36,23,7,7,4,5,10,12,8,6,6,9,6,21,6,7,9,8,7,8,7,396,10,1,2,3,1,1,3,4,2,3,13,10,24,15,3,0,1,0,0,2,2,5,10,2,1,2,18,10,1,1,0,0,2,3,1,0,0,2,0,8,0,1,2,1,1,1,1,301
25nov2018,9,7,3,5,1,6,8,9,5,9,17,13,42,20,8,0,1,2,0,5,4,10,12,4,3,4,38,19,0,3,3,3,3,10,2,0,1,3,2,14,2,7,3,4,2,6,4,336,15,5,5,8,4,4,6,8,7,7,20,16,35,22,8,3,4,2,0,6,6,11,17,6,4,6,25,16,4,4,2,2,5,8,5,3,3,5,3,14,3,4,5,4,4,5,4,340,22,8,8,13,7,8,11,13,11,11,28,23,46,31,13,6,7,5,0,10,10,16,23,10,8,11,34,23,7,8,4,5,9,12,8,6,6,8,6,20,6,7,9,7,7,8,7,390,9,1,1,3,1,1,2,3,3,3,13,10,24,14,3,0,1,0,0,2,2,5,10,2,1,2,17,10,1,1,0,0,2,3,1,0,0,1,0,8,0,1,2,1,1,1,1,291
02dec2018,13,7,3,7,4,4,7,9,11,7,24,22,32,27,11,5,5,3,3,6,10,17,28,9,2,5,28,20,7,6,3,4,6,13,5,1,1,4,2,20,4,6,5,8,2,3,6,435,14,5,5,7,4,4,6,8,6,7,20,16,33,23,8,3,4,2,2,6,5,10,16,5,4,6,24,16,4,4,2,2,5,7,4,0,3,5,2,13,3,4,5,4,4,5,4,328,21,8,8,11,7,7,10,13,11,12,27,22,44,31,13,6,7,5,5,10,9,16,23,9,8,11,33,23,7,7,4,5,9,11,8,0,6,8,5,19,6,7,9,8,7,8,7,379,8,1,1,3,1,1,2,3,2,3,13,10,23,15,4,0,1,0,0,2,2,5,10,1,1,2,16,10,1,1,0,0,2,3,1,0,1,1,0,7,0,1,2,1,1,1,1,279
09dec2018,18,2,6,3,4,6,10,7,8,7,25,18,37,31,10,0,2,4,5,8,10,13,21,5,2,8,23,9,5,0,2,2,3,5,2,2,1,3,3,13,6,1,2,4,2,3,2,363,15,4,4,7,4,4,6,8,6,7,20,15,33,22,8,3,3,2,2,5,6,11,16,5,4,6,24,15,4,4,2,2,5,7,4,0,3,4,2,12,3,4,5,4,4,4,4,321,21,8,8,11,7,7,10,13,10,12,27,22,43,31,13,6,6,5,5,9,9,16,22,9,8,11,32,22,7,7,4,5,9,11,8,0,7,8,5,18,6,7,9,8,7,8,7,370,9,1,1,3,1,1,2,3,2,3,12,9,23,14,3,0,1,0,0,2,2,5,9,1,1,2,16,9,1,1,0,0,2,3,1,0,1,1,0,7,0,1,2,1,1,1,1,274
16dec2018,17,3,5,10,3,4,9,11,5,8,23,16,39,28,4,5,4,4,3,8,1,11,24,5,3,5,21,14,6,2,1,4,4,11,4,1,4,2,2,12,3,1,5,3,2,5,7,372,14,4,4,7,4,4,6,8,6,7,20,16,33,22,7,3,3,2,2,5,6,11,16,6,4,7,24,14,4,4,2,2,5,7,5,0,3,4,2,12,3,4,5,4,3,4,4,321,21,8,7,11,7,7,10,13,10,12,27,23,44,30,12,6,6,5,5,9,9,16,22,10,8,11,33,20,7,7,4,4,9,11,8,0,6,8,5,18,6,7,9,8,6,7,7,368,8,1,1,3,1,1,2,3,2,3,12,10,23,14,3,0,1,0,0,2,2,6,9,2,1,2,16,8,1,1,0,0,2,3,1,0,0,1,0,7,0,1,2,1,1,1,1,275
23dec2018,14,6,6,8,3,3,6,12,7,2,20,19,54,30,8,5,3,0,1,4,1,8,24,4,1,10,38,17,3,4,0,2,8,3,5,0,4,3,0,7,0,3,5,2,2,1,8,374,14,5,4,7,4,4,5,8,6,7,20,16,33,22,7,3,3,2,2,5,5,11,16,6,4,6,25,14,4,4,2,2,5,7,4,0,3,5,2,13,3,4,5,4,4,4,4,323,20,8,7,11,7,7,9,13,10,11,28,22,44,29,11,6,6,5,5,9,9,16,23,10,8,11,34,21,7,7,4,4,9,11,8,0,6,8,5,19,6,7,9,8,7,8,7,369,8,1,1,3,1,1,2,4,2,3,13,9,23,14,3,0,0,0,0,2,2,6,10,2,1,2,16,8,1,1,0,0,2,3,1,0,0,1,0,7,0,1,2,1,1,1,1,279
30dec2018,14,5,3,6,5,1,6,7,5,9,27,21,32,24,2,1,2,2,1,4,4,10,13,1,4,1,21,14,3,2,2,0,2,7,2,2,6,6,2,18,0,3,3,2,0,2,1,308,14,5,4,7,4,3,6,9,6,7,21,15,33,22,7,3,3,2,2,5,6,11,16,6,4,6,25,14,4,4,2,2,5,7,4,2,3,5,2,13,3,4,5,4,4,5,4,322,20,8,7,11,7,6,10,14,10,11,28,22,44,30,12,6,6,5,5,9,9,16,23,10,8,11,34,21,7,7,4,4,8,11,8,5,5,8,5,19,6,7,9,8,7,8,8,371,8,1,1,3,1,1,2,4,2,3,13,9,23,14,3,0,0,0,0,2,2,6,10,2,1,2,16,8,1,1,0,0,1,3,1,0,0,1,0,7,0,1,2,1,1,1,1,276
06jan2019,13,2,3,6,3,1,6,4,7,4,15,28,31,25,5,2,6,2,1,4,3,8,27,3,2,8,19,13,0,4,1,1,6,10,3,3,4,3,1,11,2,2,1,3,1,5,5,317,14,5,4,7,4,3,6,9,6,7,21,16,33,22,7,3,3,2,2,5,6,11,17,6,5,6,26,14,4,4,0,2,4,7,4,2,3,5,2,13,3,4,5,4,4,4,4,326,21,9,7,11,7,6,10,15,10,11,29,23,44,30,12,6,6,5,5,9,10,16,24,10,8,11,35,21,7,8,0,4,8,11,7,5,6,8,5,19,5,7,9,8,7,8,8,379,8,2,1,3,1,0,2,4,2,3,13,10,23,14,3,0,0,0,0,2,2,6,11,2,1,2,17,8,1,1,0,0,1,3,1,0,0,1,0,7,0,1,2,1,1,1,1,277
13jan2019,18,6,6,8,4,4,12,10,6,5,18,18,35,21,12,4,3,1,5,11,8,8,13,5,0,4,25,19,6,4,3,2,7,8,4,2,3,3,3,26,2,5,5,2,4,5,3,386,15,5,4,7,4,3,6,9,6,7,21,17,34,22,7,3,3,2,2,5,6,11,17,5,4,6,27,15,4,4,2,2,5,7,4,3,3,5,2,13,0,4,5,4,4,4,4,332,21,8,7,11,6,6,11,15,11,11,29,23,45,30,11,6,6,5,5,9,10,16,24,10,8,11,36,21,7,7,4,4,8,12,7,5,6,8,5,19,0,7,9,7,7,8,8,383,9,1,1,3,1,1,2,4,2,3,14,10,23,14,3,0,0,0,0,2,2,5,10,2,1,2,18,9,1,1,0,0,1,3,1,0,0,1,0,7,0,1,2,1,1,1,1,283
20jan2019,23,7,4,8,6,7,7,8,11,3,29,18,49,24,7,1,5,1,2,5,5,9,28,8,3,6,28,12,4,3,3,5,6,8,7,7,4,4,6,10,2,6,4,5,6,4,4,422,16,5,4,7,4,4,7,9,6,7,22,16,34,22,7,3,3,2,3,5,6,11,16,6,4,7,28,15,4,4,2,2,5,8,4,3,3,4,2,14,2,4,5,4,4,4,4,335,22,8,7,11,7,7,11,14,10,11,30,23,45,30,11,6,6,5,5,8,10,16,23,10,8,12,37,21,7,7,4,4,8,12,7,5,6,8,5,20,5,7,9,7,7,8,8,384,9,1,1,3,1,1,3,4,2,3,14,10,23,14,3,0,0,0,0,1,2,6,10,2,1,2,19,9,1,1,0,0,1,3,1,0,0,1,0,8,0,1,1,1,1,1,1,288
27jan2019,8,0,3,8,4,2,9,9,8,5,17,14,31,12,11,1,6,1,3,7,8,7,19,9,4,6,32,13,5,1,4,2,4,9,2,4,3,3,3,21,4,5,2,2,7,7,3,348,16,5,4,7,4,4,7,9,7,7,22,16,34,22,7,3,3,2,3,5,6,11,18,6,4,6,28,15,4,4,2,2,5,8,4,3,3,5,3,15,2,4,5,4,4,5,4,343,22,8,8,12,7,7,11,15,11,11,30,23,46,30,12,6,6,5,6,9,10,16,24,11,8,11,37,21,7,8,4,4,8,12,7,5,6,8,5,21,5,8,8,7,7,8,7,390,9,1,1,3,1,1,3,4,3,3,14,10,24,14,3,1,1,0,0,2,2,6,11,2,1,2,19,9,1,1,0,0,1,3,1,0,0,1,0,8,0,1,1,1,1,1,1,298
